Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Cameron Artis-Payne,1,11,0,0,0,11,1,1.0,0,0,1
Bralon Addison,1,11,0,0,0,11,1,1.0,0,0,1
Lorenzo Taliaferro,3,10,0,0,0,8,0,0.0,0,0,3
Byron Marshall,3,10,0,0,0,7,1,0.333,0,0,5
Chris Manhertz,1,10,0,0,0,10,1,1.0,0,0,1
Taylor Lewan,1,10,1,0,0,10,1,1.0,0,0,1
Derek Carrier,2,10,0,0,0,6,0,0.0,0,0,2
Tony Washington,1,9,0,0,0,9,0,0.0,0,0,1
Rashad Ross,1,8,0,0,0,8,0,0.0,0,0,1
Adrian Peterson,3,8,0,0,0,7,0,0.0,0,0,6
Matthew Mulligan,1,8,0,0,0,8,0,0.0,0,0,1
Jared Abbrederis,1,8,0,0,0,8,0,0.0,0,0,2
Carson Wentz,1,7,0,0,0,7,0,0.0,0,0,1
Kerwynn Williams,1,6,0,0,0,6,0,0.0,0,0,2
Jay Prosch,1,6,0,0,0,6,1,1.0,0,0,1
Isaiah Pead,1,6,0,0,0,6,0,0.0,0,0,1
Paul McRoberts,1,6,0,0,0,6,0,0.0,0,0,1
Percy Harvin,2,6,0,0,0,5,0,0.0,0,0,4
Terrell Watson,1,5,0,0,0,5,0,0.0,0,0,1
Troymaine Pope,1,5,0,0,0,5,0,0.0,0,0,2
Roosevelt Nix,2,5,0,0,0,3,0,0.0,0,0,2
Sam Bradford,1,5,0,0,0,5,0,0.0,0,0,1
Randall Telfer,2,4,0,0,0,7,0,0.0,0,0,6
Rod Smith,1,4,0,0,0,4,0,0.0,0,0,1
Chase Reynolds,1,4,0,0,0,4,1,1.0,0,0,1
David Morgan,1,4,0,0,0,4,0,0.0,0,0,1
George Farmer,1,4,0,0,0,4,0,0.0,0,0,3
Joe Webb,1,3,0,0,0,3,0,0.0,0,0,3
Alex Smith,1,3,0,0,0,3,0,0.0,0,0,1
Jordan Payton,1,3,0,0,0,3,0,0.0,0,0,2
Marcus Murphy,1,3,0,0,0,3,0,0.0,0,0,1
Paul Lasike,1,3,0,0,0,3,0,0.0,0,0,1
Jimmy Garoppolo,1,3,0,0,0,3,0,0.0,0,0,1
D.J. Foster,1,2,0,0,0,2,0,0.0,0,0,2
Matt Barkley,1,2,1,0,0,2,1,1.0,0,0,1
D.J. Tialavea,1,1,1,0,0,1,1,1.0,0,0,1
Donald Penn,1,1,1,0,0,1,1,1.0,0,0,1
