Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Devontae Booker,17,84,0,0,0,17,2,0.118,0,0,21
Geoff Swaim,9,83,1,0,0,16,6,0.667,0,0,12
Royce Freeman,12,81,0,1,0,28,4,0.333,0,0,13
Troy Fumagalli,8,80,1,1,0,29,6,0.75,0,0,15
De'Michael Harris,10,79,0,1,0,21,3,0.3,0,0,10
Ray-Ray McCloud,20,77,0,0,0,13,3,0.15,0,0,22
Dante Pettis,4,76,1,2,0,33,3,0.75,0,0,7
Ito Smith,17,75,0,0,0,17,3,0.176,1,0,26
K.J. Hill,7,73,0,1,0,25,2,0.286,0,0,11
Pharoh Cooper,5,73,0,1,0,32,3,0.6,0,0,8
Parris Campbell,6,71,0,1,0,21,4,0.667,0,0,9
Jason Witten,13,69,2,0,0,15,8,0.615,0,0,17
Brandon Powell,12,69,2,0,0,13,5,0.417,1,0,18
Patrick Laird,10,68,0,0,0,17,3,0.3,0,0,12
Ryan Nall,8,67,1,0,0,18,5,0.625,0,0,9
Malik Taylor,5,66,1,2,0,26,4,0.8,0,0,6
Courtland Sutton,3,66,0,2,1,45,2,0.667,0,0,6
Samaje Perine,11,66,0,0,0,15,4,0.364,0,0,12
Darwin Thompson,7,65,1,1,0,37,3,0.429,1,0,11
Luke Stocker,7,63,0,1,0,25,4,0.571,0,0,11
La'Mical Perine,11,63,0,0,0,14,3,0.273,0,0,15
Nick Keizer,6,63,0,1,0,22,2,0.333,1,0,9
Tyrie Cleveland,6,63,0,0,0,17,4,0.667,0,0,9
Gunner Olszewski,5,62,1,1,0,38,3,0.6,0,0,5
Benny Snell,10,61,0,0,0,14,3,0.3,0,0,14
Salvon Ahmed,11,61,0,0,0,13,2,0.182,0,0,14
Steven Mitchell,5,60,0,1,0,20,3,0.6,0,0,8
Ja'Marcus Bradley,5,60,0,1,0,22,2,0.4,0,0,11
Saquon Barkley,6,60,0,1,0,38,3,0.5,0,0,9
Rodney Smith,9,59,0,0,0,12,1,0.111,0,0,11
Keith Smith,11,59,0,0,0,13,4,0.364,0,0,15
Jaydon Mickens,7,58,0,0,0,11,6,0.857,0,0,10
