Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Troymaine Pope,2,14,1,0,0,13,1,0.5,0,0,2
Ryan Grant,4,14,0,0,0,9,1,0.25,0,0,9
Keith Smith,1,13,0,0,0,13,1,1.0,0,0,3
Isaac Nauta,2,13,0,0,0,10,1,0.5,0,0,3
T.J. Logan,2,13,0,0,0,11,1,0.5,0,0,3
Cody Hollister,2,13,0,0,0,11,0,0.0,0,0,2
Cethan Carter,2,13,1,0,0,8,2,1.0,0,0,2
Jeff Smith,1,12,0,0,0,12,1,1.0,0,0,2
Sean Culkin,1,12,0,0,0,12,1,1.0,0,0,2
John Ursua,1,11,0,0,0,11,1,1.0,0,0,1
Scott Simonson,2,11,0,0,0,10,1,0.5,0,0,2
Chris Manhertz,1,11,0,0,0,11,1,1.0,0,0,1
Tyler Ervin,2,11,0,0,0,6,1,0.5,0,0,4
Kevin Byard,1,11,0,0,0,11,1,1.0,0,0,1
Antony Auclair,1,11,0,0,0,11,1,1.0,0,0,3
Levine Toilolo,2,10,0,0,0,8,0,0.0,0,0,2
Kerrith Whyte,1,9,0,0,0,9,1,1.0,0,0,1
Elijhaa Penny,2,9,0,0,0,9,0,0.0,0,0,3
Ben Koyack,1,9,0,0,0,9,0,0.0,0,0,2
Taiwan Jones,1,9,0,0,0,9,0,0.0,0,0,1
Austin Carr,1,9,0,0,0,9,1,1.0,0,0,4
Javorius Allen,1,9,0,0,0,9,0,0.0,0,0,2
Jordan Thomas,1,8,0,0,0,8,0,0.0,0,0,3
Ricky Ortiz,1,8,0,0,0,8,0,0.0,0,0,1
Qadree Ollison,1,7,0,0,0,7,1,1.0,0,0,2
Chris Herndon,1,7,0,0,0,7,0,0.0,0,0,2
Dwayne Harris,1,7,0,0,0,7,0,0.0,0,0,1
Cody Davis,1,7,0,0,0,7,1,1.0,0,0,1
Deshaun Watson,1,6,1,0,0,6,1,1.0,0,0,1
Dwayne Washington,1,6,0,0,0,6,0,0.0,0,0,1
De'Anthony Thomas,1,6,0,0,0,6,0,0.0,0,0,2
Jaleel Scott,1,6,0,0,0,6,0,0.0,0,0,3
Dalton Schultz,1,6,0,0,0,6,0,0.0,0,0,1
Jeff Driskel,1,6,0,0,0,6,0,0.0,0,0,1
Alex Armah,2,6,0,0,0,4,0,0.0,0,0,2
Tyrone Swoopes,1,5,0,0,0,5,0,0.0,0,0,1
Bo Scarbrough,1,5,0,0,0,5,0,0.0,0,0,4
Charles Jones,1,5,0,0,0,5,0,0.0,0,0,1
Jakob Johnson,1,5,0,0,0,5,0,0.0,0,0,2
Roosevelt Nix,2,4,0,0,0,4,0,0.0,0,0,3
Krishawn Hogan,1,4,0,0,0,4,0,0.0,0,0,1
Zach Gentry,1,4,0,0,0,4,1,1.0,0,0,1
Darrell Daniels,1,4,0,0,0,4,1,1.0,0,0,2
Xavier Grimble,1,3,0,0,0,3,0,0.0,0,0,3
Cyril Grayson,1,3,0,0,0,3,0,0.0,0,0,1
Jacoby Brissett,1,2,0,0,0,2,0,0.0,0,0,1
Christian Wilkins,1,1,1,0,0,1,1,1.0,1,0,1
Vita Vea,1,1,1,0,0,1,1,1.0,0,0,1
Eric Tomlinson,1,1,0,0,0,1,0,0.0,0,0,1
Darrius Shepherd,1,1,0,0,0,1,0,0.0,0,0,2
Jason Sanders,1,1,1,0,0,1,1,1.0,0,0,1
David Quessenberry,1,1,1,0,0,1,1,1.0,0,0,1
Senorise Perry,1,1,0,0,0,1,0,0.0,0,0,1
Dennis Kelly,1,1,1,0,0,1,1,1.0,0,0,1
Wes Hills,2,1,0,0,0,2,0,0.0,0,0,2
Jon Hilliman,3,1,0,0,0,5,0,0.0,1,0,4
Dion Dawkins,1,1,1,0,0,1,1,1.0,0,0,1
