Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Jaelon Darden,6,43,0,1,0,29,1,0.167,0,0,8
Kristian Wilkerson,4,42,2,1,0,20,2,0.5,0,0,8
Wayne Gallman,2,42,0,2,0,42,2,1.0,0,0,6
Eno Benjamin,6,42,0,0,0,12,4,0.667,0,0,7
Trent Taylor,2,41,0,1,0,26,2,1.0,0,0,3
Duke Johnson,4,41,0,1,0,20,3,0.75,0,0,5
Chris Hogan,4,41,1,0,0,16,2,0.5,0,0,7
Chris Herndon,4,40,1,0,0,17,4,1.0,0,0,7
Auden Tate,3,39,1,0,0,18,3,1.0,0,0,4
Garrett Griffin,4,39,0,0,0,14,2,0.5,1,0,4
Kevin White,1,38,0,1,0,38,1,1.0,0,0,3
Willie Snead,4,38,0,0,0,21,3,0.75,0,0,7
Scott Miller,5,38,0,0,0,13,2,0.4,0,0,9
Joshua Kelley,5,38,0,0,0,17,1,0.2,0,0,6
Kendall Blanton,4,37,0,1,0,23,2,0.5,1,0,6
Kenny Yeboah,2,36,0,1,0,24,2,1.0,0,0,3
D.J. Montgomery,3,36,0,0,0,14,2,0.667,0,0,6
Noah Gray,7,36,1,0,0,8,2,0.286,0,0,10
J.J. Arcega-Whiteside,2,36,0,1,0,23,2,1.0,0,0,2
Trevon Wesco,3,35,0,0,0,19,2,0.667,0,0,5
Andre Roberts,1,35,0,1,0,35,1,1.0,0,0,2
Tyler Davis,4,35,0,1,0,22,1,0.25,0,0,4
Shane Zylstra,3,34,0,0,0,16,2,0.667,0,0,7
Seth Williams,1,34,0,1,0,34,1,1.0,0,0,1
Jonathan Ward,3,34,0,1,0,23,1,0.333,0,0,4
Trenton Irwin,2,34,0,1,0,25,1,0.5,0,0,5
Dominique Dafney,2,34,0,1,0,26,2,1.0,0,0,4
Cody White,5,33,0,0,0,11,3,0.6,0,0,6
Kaden Smith,3,33,0,1,0,21,1,0.333,0,0,3
Colby Parkinson,5,33,0,0,0,12,2,0.4,0,0,8
Cody Hollister,4,33,0,0,0,14,4,1.0,0,0,7
Pharoh Cooper,4,33,0,0,0,15,1,0.25,0,0,6
Tyron Johnson,4,32,0,0,0,20,2,0.5,0,0,10
Josh Gordon,5,32,1,0,0,11,3,0.6,0,0,13
Jeff Wilson,7,31,0,0,0,11,1,0.143,0,0,8
Jeremy Sprinkle,3,31,0,0,0,11,2,0.667,0,0,3
Gunner Olszewski,2,31,0,1,0,22,2,1.0,0,0,3
Tommy Hudson,3,31,0,0,0,14,2,0.667,0,0,5
Michael Burton,3,31,0,1,0,20,2,0.667,0,0,3
Elijhaa Penny,9,30,1,0,0,16,4,0.444,0,0,11
K.J. Hill,3,30,0,0,0,19,1,0.333,0,0,3
Tony Jones,5,29,0,0,0,19,2,0.4,0,0,7
Corey Clement,6,29,1,0,0,8,1,0.167,0,0,7
Chris Carson,6,29,0,0,0,16,1,0.167,0,0,6
Daniel Brown,2,29,0,1,0,24,1,0.5,0,0,2
Le'Veon Bell,6,29,1,0,0,13,3,0.5,0,0,10
Jonathan Williams,4,28,0,0,0,19,2,0.5,0,0,6
Jake Kumerow,2,28,0,0,0,15,2,1.0,0,0,6
Curtis Samuel,6,27,0,0,0,10,4,0.667,0,0,7
Sean McKeon,4,27,1,0,0,12,2,0.5,0,0,6
Ke'Shawn Vaughn,4,26,0,0,0,8,1,0.25,0,0,8
Mike Strachan,2,26,0,0,0,16,2,1.0,0,0,2
Trey Sermon,3,26,0,1,0,23,1,0.333,0,0,4
Will Fuller,4,26,0,0,0,10,3,0.75,0,0,8
Christian Blake,4,25,0,0,0,8,2,0.5,0,0,8
Marcus Kemp,2,24,0,0,0,16,1,0.5,0,0,3
Tylan Wallace,2,23,0,0,0,18,1,0.5,0,0,5
Dazz Newsome,2,23,0,0,0,13,1,0.5,0,0,5
Jermar Jefferson,4,23,0,0,0,11,2,0.5,0,0,4
Reggie Gilliam,3,23,0,0,0,8,0,0.0,0,0,4
Jack Stoll,4,22,0,0,0,9,0,0.0,0,0,5
Wendell Smallwood,4,22,0,0,0,7,0,0.0,0,0,5
Tyree Jackson,3,22,1,0,0,13,2,0.667,0,0,7
Mike Boone,2,22,0,0,0,19,1,0.5,0,0,2
Dezmon Patmon,2,21,1,0,0,14,1,0.5,0,0,3
Jesper Horsted,2,21,2,0,0,19,2,1.0,0,0,3
Garrett Bradbury,1,21,0,1,0,21,1,1.0,0,0,1
Nick Bawden,1,20,0,1,0,20,1,1.0,0,0,1
Jordan Howard,2,19,0,0,0,10,2,1.0,0,0,4
David Sills,2,17,0,0,0,12,1,0.5,0,0,3
Bobby Price,1,17,0,0,0,17,1,1.0,0,0,1
Gabe Nabers,3,17,0,0,0,8,0,0.0,0,0,3
Chris Myarick,3,17,1,0,0,10,2,0.667,0,0,6
Patrick Laird,3,17,0,0,0,10,2,0.667,0,0,3
Keith Kirkwood,3,17,0,0,0,7,1,0.333,0,0,5
Davion Davis,1,17,0,0,0,17,1,1.0,0,0,3
Mitchell Wilcox,3,16,0,0,0,8,0,0.0,0,0,5
Adam Prentice,3,16,0,0,0,10,1,0.333,0,0,3
Daniel Jones,1,16,0,0,0,16,1,1.0,0,0,1
Cethan Carter,2,16,0,0,0,8,0,0.0,0,0,2
Jason Cabinda,4,16,1,0,0,6,2,0.5,0,0,7
Ryquell Armstead,3,16,0,0,0,9,1,0.333,0,0,4
Derek Watt,3,15,0,0,0,9,0,0.0,0,0,3
Greg Dortch,3,15,0,0,0,10,0,0.0,0,0,3
Cameron Batson,2,15,1,0,0,13,2,1.0,0,0,5
Tyrell Williams,2,14,0,0,0,7,1,0.5,0,0,3
Malik Taylor,2,14,0,0,0,7,1,0.5,0,0,3
Jaylen Samuels,3,14,0,0,0,6,1,0.333,0,0,4
Devine Ozigbo,2,14,0,0,0,14,2,1.0,0,0,2
Frank Darby,1,14,0,0,0,14,1,1.0,0,0,3
Benny Snell,2,13,0,0,0,7,0,0.0,0,0,4
